"GeneID","Block","logFC","adj.P.Val","Enrichment","AveExpr","t","P.Value","B"
"VASP","44_Normal vs 502_Tumor",-0.984497870798422,3.10635875762778e-28,"Tumor",6.80251261032608,-12.0959973630958,5.07220142489173e-30,57.3684582212618
"HDGF","44_Normal vs 502_Tumor",-0.934633247183288,3.42496507848625e-28,"Tumor",8.69631531567623,-12.0841877866389,5.68177210578866e-30,57.2493235829191
"HSP90B1","44_Normal vs 502_Tumor",-1.1564688119663,4.99672364629429e-28,"Tumor",9.30272333906692,-12.0422469400284,8.49774066822442e-30,56.8504320018729
"TYMP","44_Normal vs 502_Tumor",-2.08998466234914,6.32297887110464e-28,"Tumor",8.50088322228776,-12.0154625592633,1.09841513072035e-29,56.6018479204363
"ENDOU","44_Normal vs 502_Tumor",2.74988196398364,6.73651614782213e-28,"Normal",2.91784946830711,12.0075985222488,1.18431109698787e-29,56.5349271550622
"BST2","44_Normal vs 502_Tumor",-2.9983137861359,8.30655992278526e-28,"Tumor",9.00143269279144,-11.9832477294709,1.49499878624911e-29,56.2985943569581
"KAT2B","44_Normal vs 502_Tumor",1.40879872030753,8.81405663484327e-28,"Normal",3.5929737993849,11.9764398585623,1.59553323193209e-29,56.2430461886058
"ESM1","44_Normal vs 502_Tumor",-1.47514536442347,9.2643346155514e-28,"Tumor",2.99881007278684,-11.9709254257764,1.68187617831493e-29,56.1211839104565
"TNFSF4","44_Normal vs 502_Tumor",-1.11667980636778,1.30385156058373e-27,"Tumor",2.27056136224372,-11.9333407185101,2.40786401192885e-29,55.6435384559979
"PSMA7","44_Normal vs 502_Tumor",-0.88384798247324,1.84842816569858e-27,"Tumor",8.79149963603427,-11.895538888611,3.45212208941567e-29,55.465648353551
"PLA2G2A","44_Normal vs 502_Tumor",3.20577159421224,2.02853409489954e-27,"Normal",3.00125109545614,11.8843138024657,3.84139953283182e-29,55.3705610493728
"FAM3B","44_Normal vs 502_Tumor",3.00003796266748,9.77460955480639e-27,"Normal",2.60960387973824,11.7120125358223,1.9659488126385e-28,53.7609761439691
"HMGB3","44_Normal vs 502_Tumor",-1.58346770760279,1.15898256962834e-26,"Tumor",5.94961406020041,-11.6929173710022,2.35387634298373e-28,53.5877703109292
"NOX4","44_Normal vs 502_Tumor",-0.913538665253553,1.48184244719699e-26,"Tumor",2.1323774812698,-11.6658315909079,3.03805144633741e-28,53.1403293910263
"PLXNA1","44_Normal vs 502_Tumor",-1.63479380729942,1.61139996527148e-26,"Tumor",6.02563699461708,-11.6566558257989,3.31207463256802e-28,53.2505539725246
"ULBP2","44_Normal vs 502_Tumor",-2.10366898085559,1.72348023283288e-26,"Tumor",5.13679282068597,-11.6489699327328,3.56042658564255e-28,53.1841322055843
"XCL1","44_Normal vs 502_Tumor",-1.06109074002419,2.07166845637706e-26,"Tumor",2.35080637313677,-11.6267425370738,4.38780005889242e-28,52.8411904593597
"PPP4C","44_Normal vs 502_Tumor",-0.729647985665273,2.32635277081603e-26,"Tumor",7.37483729937626,-11.6136133772726,4.96363025334529e-28,52.8366190097423
"IRF3","44_Normal vs 502_Tumor",-1.05161462203724,3.11905895909288e-26,"Tumor",5.88260752510573,-11.5800347995846,6.80143275549493e-28,52.5375966963472
"CCNA2","44_Normal vs 502_Tumor",-1.74167890234512,5.0058150626805e-26,"Tumor",5.61241144310444,-11.5264689982316,1.12290702538088e-27,52.0496491968395
"PPIA","44_Normal vs 502_Tumor",-0.845230543536241,5.73110687512199e-26,"Tumor",8.47010762343231,-11.5107496873556,1.30055375380983e-27,51.8808058121915
"HSF1","44_Normal vs 502_Tumor",-0.953598134389681,7.24557324457685e-26,"Tumor",6.42986171230523,-11.4836727567991,1.67446864591139e-27,51.6430229596081
"MC1R","44_Normal vs 502_Tumor",-0.688211593019821,9.39588756982249e-26,"Tumor",1.93285008192245,-11.4531531830372,2.22532889389087e-27,51.1871546120285
"TNFRSF4","44_Normal vs 502_Tumor",-1.50711142499,1.23318276141643e-25,"Tumor",3.24716155060702,-11.421122793961,2.99787765047763e-27,51.0668977333475
"PDIA3","44_Normal vs 502_Tumor",-0.982534696251363,1.35715339213439e-25,"Tumor",8.6759852404793,-11.4098953086551,3.32757104858449e-27,50.9524723341401
"SEMA4F","44_Normal vs 502_Tumor",-1.2377917944065,1.65608588535675e-25,"Tumor",3.10940986191745,-11.3877701611481,4.08643447114477e-27,50.7668212245085
"SIAH1","44_Normal vs 502_Tumor",-1.04251936092214,2.43038818361693e-25,"Tumor",3.52144515664003,-11.3443511280982,6.11115396996902e-27,50.3830172544113
"PLAUR","44_Normal vs 502_Tumor",-1.8259610814804,3.53805615278119e-25,"Tumor",5.52065144954076,-11.3019632182876,9.04401645815004e-27,49.9937812035288
"SERPINE1","44_Normal vs 502_Tumor",-3.29373834701098,3.62438132028291e-25,"Tumor",7.78385701739,-11.2989122962105,9.30249678949968e-27,49.9572308999698
"IRF9","44_Normal vs 502_Tumor",-1.01704860092446,4.82574595745682e-25,"Tumor",2.64114483885527,-11.2650600705134,1.27132438234425e-26,49.6132628291539
"E2F1","44_Normal vs 502_Tumor",-1.9509160013146,7.24232523157758e-25,"Tumor",4.80855935664657,-11.217666022737,1.96681151736266e-26,49.2315819829865
"ADRM1","44_Normal vs 502_Tumor",-0.798540195658108,9.14501585772032e-25,"Tumor",8.03527721782033,-11.1913582283632,2.50463421425383e-26,48.9609592922131
"CEACAM1","44_Normal vs 502_Tumor",2.16408766977652,9.73329998401965e-25,"Normal",3.79852235927786,11.1841528114845,2.67590854587008e-26,48.9086864958707
"CTLA4","44_Normal vs 502_Tumor",-1.34778827468519,1.14662992624406e-24,"Tumor",2.85527013310144,-11.1654664163272,3.17627675327662e-26,48.6919596071265
"RORC","44_Normal vs 502_Tumor",1.73505305141995,2.76592670197541e-24,"Normal",1.94938789111524,11.0651189601828,7.95047009644974e-26,47.8521846788345
"SLAMF9","44_Normal vs 502_Tumor",-1.14822731263522,3.86007288077318e-24,"Tumor",2.2559891034752,-11.0259630126283,1.13573013968182e-25,47.2447511674004
"SOCS1","44_Normal vs 502_Tumor",-1.92605196856854,7.90596307644148e-24,"Tumor",4.87768563145053,-10.9437059339864,2.39624630779514e-25,46.7690648214274
"DAGLB","44_Normal vs 502_Tumor",-0.849381153332951,3.79933662222835e-23,"Tumor",4.34659836084962,-10.7609789116779,1.24272735256778e-24,45.1459908264328
"RAC2","44_Normal vs 502_Tumor",-1.89665549437385,4.12419534296279e-23,"Tumor",6.30051843097215,-10.7511095039037,1.35759156002375e-24,45.0457698912979
"PSMD3","44_Normal vs 502_Tumor",-0.848008484841643,5.2587249453723e-23,"Tumor",7.09264402291015,-10.722016065096,1.76122980589964e-24,44.7692898220344
"SHARPIN","44_Normal vs 502_Tumor",-0.885406523663971,8.24102394555182e-23,"Tumor",6.40926939045523,-10.6679058622477,2.85462981889844e-24,44.2997653089644
"ELF4","44_Normal vs 502_Tumor",-1.49893048106659,1.03066403030385e-22,"Tumor",5.75273132873876,-10.6407725643036,3.63466474247694e-24,44.0780183256654
"TNFRSF12A","44_Normal vs 502_Tumor",-1.92852454796584,1.06961473269064e-22,"Tumor",7.22595260286159,-10.6361042695493,3.78876521204521e-24,44.0216698853177
"RAG1","44_Normal vs 502_Tumor",-0.785792732998864,1.61484572696537e-22,"Tumor",1.84584101982389,-10.5869313874099,5.86328251848244e-24,43.2861580587152
"LGALS1","44_Normal vs 502_Tumor",-2.08591394970556,1.6545299495546e-22,"Tumor",9.78512398700528,-10.583869551064,6.02463302618347e-24,43.5455843082222
"EIF2AK2","44_Normal vs 502_Tumor",-1.42241788142364,1.90094952421726e-22,"Tumor",5.05623852239697,-10.5672351894273,6.98142034038786e-24,43.4438685634968
"TOR2A","44_Normal vs 502_Tumor",-0.877618167747558,2.21463234296206e-22,"Tumor",3.98984254312832,-10.5491807259814,8.19121671010539e-24,43.2922992360109
"RPS6KA4","44_Normal vs 502_Tumor",-1.10043007551595,2.29675866852599e-22,"Tumor",6.66882781391632,-10.5445868459624,8.5309206113543e-24,43.2192715164208
"EFTUD2","44_Normal vs 502_Tumor",-0.802316656459141,2.53797492326481e-22,"Tumor",5.69441439948273,-10.5328152907939,9.46659747579078e-24,43.1261865168296
"PSMD11","44_Normal vs 502_Tumor",-0.913668268759893,3.90785700554096e-22,"Tumor",6.33765088202275,-10.4815470600634,1.48820262613851e-23,42.6725975060667
"PSMD14","44_Normal vs 502_Tumor",-0.818492914247634,3.94090969854063e-22,"Tumor",5.43482290226296,-10.4802804365979,1.50490161162906e-23,42.6735729726503
"ADAR","44_Normal vs 502_Tumor",-1.16148687401754,3.95407997214067e-22,"Tumor",7.29854823427628,-10.4797467204203,1.51199364577136e-23,42.6489526159229
"TREM2","44_Normal vs 502_Tumor",-2.20811819179252,5.20939828326506e-22,"Tumor",4.90172467392048,-10.446569589221,2.02462398718372e-23,42.4017057069975
"PTHLH","44_Normal vs 502_Tumor",-3.49866500921034,5.80675786495392e-22,"Tumor",6.70072026540789,-10.4337582913884,2.26587452813685e-23,42.28679824027
"PLCG1","44_Normal vs 502_Tumor",-1.03019611746892,6.77239525494959e-22,"Tumor",4.66068483783909,-10.4151738487311,2.66741009832904e-23,42.1248168715005
"STAT2","44_Normal vs 502_Tumor",-1.35131551294271,8.22634690590667e-22,"Tumor",6.26002970905247,-10.3914892061513,3.28298574939673e-23,41.8990818871906
"TAP2","44_Normal vs 502_Tumor",-1.320199184562,1.24042234498748e-21,"Tumor",5.44336948929141,-10.3404238250689,5.1314879209926e-23,41.4722814061195
"PGF","44_Normal vs 502_Tumor",-1.84682666733279,1.84582911712983e-21,"Tumor",4.50416568185389,-10.2934008869504,7.73228014531408e-23,41.0833432312092
"CXCR2","44_Normal vs 502_Tumor",1.64489243769785,1.87878111937619e-21,"Normal",2.43769314113419,10.2909399694159,7.89972133244932e-23,41.0536443134159
"CCR8","44_Normal vs 502_Tumor",-0.861705433144995,2.18276139874332e-21,"Tumor",1.91564641467687,-10.2728250406414,9.24815848263463e-23,40.5849012576196
"SPHK1","44_Normal vs 502_Tumor",-1.48130011087329,3.31404519958186e-21,"Tumor",5.71763356796361,-10.2226370215101,1.42976440088382e-22,40.460763876353
"RIPK2","44_Normal vs 502_Tumor",-1.07585070081812,3.9127295775614e-21,"Tumor",4.72836467843286,-10.2024900157166,1.70234048082123e-22,40.2998881794079
"APLN","44_Normal vs 502_Tumor",-1.6089084188861,4.90463818565763e-21,"Tumor",3.4778451355117,-10.1751209249887,2.15692523893233e-22,40.0410043113156
"ZBP1","44_Normal vs 502_Tumor",-0.88718169589399,5.06005188114993e-21,"Tumor",2.1100100074216,-10.1713726677303,2.22791162172807e-22,39.7887790221985
"DDX60L","44_Normal vs 502_Tumor",-1.33983359089491,8.8108102484618e-21,"Tumor",3.37861663909459,-10.1040393711056,3.98046933860291e-22,39.4608766097541
"OGFR","44_Normal vs 502_Tumor",-0.966165590895506,9.59555574326015e-21,"Tumor",5.52168724064406,-10.0935786124375,4.35501773521641e-22,39.3589473306149
"SIGLEC12","44_Normal vs 502_Tumor",-0.930109440325307,1.01564567463877e-20,"Tumor",1.96932923220635,-10.0864326283121,4.63078052915796e-22,38.9581055947642
"UCN","44_Normal vs 502_Tumor",-0.717918355224478,1.37708846306295e-20,"Tumor",1.95191832971284,-10.0485687589118,6.40806984742113e-22,38.7174806700368
"LTF","44_Normal vs 502_Tumor",4.10796159667486,1.95947602868525e-20,"Normal",3.60041636513132,10.0051376755113,9.29189686512019e-22,38.5863003990237
"CD70","44_Normal vs 502_Tumor",-1.33376796124212,4.02579183674462e-20,"Tumor",2.67683014724439,-9.915814278416,1.98848973269181e-21,37.6795241972266
"PIK3CD","44_Normal vs 502_Tumor",-1.32535684772063,4.2961869759413e-20,"Tumor",4.33693623343036,-9.90751531294758,2.13363764468471e-21,37.8198998631081
"PSMC4","44_Normal vs 502_Tumor",-0.720853618303053,4.53555103784961e-20,"Tumor",7.37988569275861,-9.90100168399793,2.25488034799451e-21,37.7103648681743
"MEFV","44_Normal vs 502_Tumor",-0.68021250227332,5.70601280525539e-20,"Tumor",1.81581450910503,-9.87292701907199,2.8605969564664e-21,37.1823617088696
"NEU1","44_Normal vs 502_Tumor",-0.922879450341107,5.85997853308613e-20,"Tumor",5.42022472747477,-9.86953641259514,2.94389865270069e-21,37.4785349235733
"TRIM28","44_Normal vs 502_Tumor",-0.868059138173923,8.96706952498923e-20,"Tumor",8.25044174495898,-9.81687656878464,4.59369934453514e-21,37.0032749713927
"EPO","44_Normal vs 502_Tumor",-0.748566474946657,1.08633873665215e-19,"Tumor",1.69593158056819,-9.79276936183744,5.62847794202395e-21,36.4139029374516
"UBE2I","44_Normal vs 502_Tumor",-0.658526900751362,1.16595145774012e-19,"Tumor",5.37555514093439,-9.78379124726433,6.0703195514875e-21,36.7623937841057
"GREM1","44_Normal vs 502_Tumor",-1.83758867844281,1.28387974819612e-19,"Tumor",3.52192094914511,-9.77162371965083,6.72447841404821e-21,36.6315061864927
"IFNE","44_Normal vs 502_Tumor",-0.758815158181388,1.33612353407333e-19,"Tumor",1.82142956986665,-9.76664210984817,7.01205214292751e-21,36.2684032213955
"IL36A","44_Normal vs 502_Tumor",3.12409544215995,1.36501331591922e-19,"Normal",3.39005023277833,9.76386031732474,7.17790924120495e-21,36.5806699776399
"MIF","44_Normal vs 502_Tumor",-1.17891725421723,1.41185527729284e-19,"Tumor",7.44549389540995,-9.7596085219027,7.43895784895282e-21,36.5374926217416
"IRAK1","44_Normal vs 502_Tumor",-0.961762666295511,1.46878351467508e-19,"Tumor",7.48446878915494,-9.75466652931361,7.75423296390622e-21,36.4942767272579
"SHC1","44_Normal vs 502_Tumor",-1.1016133048146,2.32046527102898e-19,"Tumor",7.13246901510181,-9.69729983955768,1.25410924971883e-20,36.0257073658605
"S100A1","44_Normal vs 502_Tumor",2.22473743615916,2.32788493641664e-19,"Normal",2.84918381037915,9.69680278190936,1.25933365280612e-20,36.0449824156196
"STMN1","44_Normal vs 502_Tumor",-1.49039853680984,3.1351266724916e-19,"Tumor",6.56352077896438,-9.65887103055851,1.72874374919068e-20,35.7231466106851
"TAPBP","44_Normal vs 502_Tumor",-1.12892495910576,3.33813919936068e-19,"Tumor",7.83479929975356,-9.65068210740248,1.85091109000155e-20,35.6352068317968
"APOD","44_Normal vs 502_Tumor",2.3913792268832,5.22078753546137e-19,"Normal",4.15294965546718,9.5938923670995,2.96867776809061e-20,35.1800077207781
"TRAIP","44_Normal vs 502_Tumor",-0.989165907262075,6.21312370971966e-19,"Tumor",3.0649749686824,-9.57236398799396,3.54915251820284e-20,35.0449501029305
"ISG20L2","44_Normal vs 502_Tumor",-0.801660781426802,6.27951183757381e-19,"Tumor",5.36764998115981,-9.57086155775361,3.5936274640401e-20,35.0150368944475
"TRPM2","44_Normal vs 502_Tumor",-1.21451281757284,7.43468736546537e-19,"Tumor",2.9316108093855,-9.54959469770967,4.2857371479155e-20,34.8095737541418
"CACYBP","44_Normal vs 502_Tumor",-0.909490083930564,7.82886607506553e-19,"Tumor",5.78130620696769,-9.54302286459272,4.52521446667672e-20,34.7812309658442
"DAXX","44_Normal vs 502_Tumor",-0.733894532639308,7.9425949264688e-19,"Tumor",6.28853606150408,-9.54117007230321,4.59509508761746e-20,34.7541142679643
"ACVR1C","44_Normal vs 502_Tumor",-0.62909808901013,8.62629877993729e-19,"Tumor",1.77525269058969,-9.5307463985806,5.00864444784298e-20,34.3566895637047
"PROCR","44_Normal vs 502_Tumor",-1.80383893666046,1.46222103939422e-18,"Tumor",5.98122737647505,-9.46318702397534,8.74174610645197e-20,34.1465142656852
"CDK4","44_Normal vs 502_Tumor",-1.06226747862966,1.58635928648006e-18,"Tumor",6.55575073274663,-9.45232237399135,9.55837537630797e-20,34.0334232431003
"ACKR1","44_Normal vs 502_Tumor",2.08023696344527,1.68032388254975e-18,"Normal",3.62341585286663,9.44510651257469,1.0142076958162e-19,33.9815847156642
"CMTM1","44_Normal vs 502_Tumor",-0.640480686212259,1.79590160263346e-18,"Tumor",1.79997932178071,-9.43595542486661,1.09333672610634e-19,33.6167979160581
"UBE2V2","44_Normal vs 502_Tumor",-0.801135817096376,1.93038151093274e-18,"Tumor",5.19438992971258,-9.42642447871292,1.18225671335752e-19,33.8475338362721
"IFI16","44_Normal vs 502_Tumor",-1.14647582444065,2.10519271114831e-18,"Tumor",7.41028023638227,-9.41512425104689,1.29700693404254e-19,33.7223551503045
"SKP2","44_Normal vs 502_Tumor",-1.28755070210137,2.16021759162286e-18,"Tumor",5.06513261783449,-9.41176849505356,1.33316156862113e-19,33.7426916128684
"SKIV2L","44_Normal vs 502_Tumor",-0.708410139317151,2.29686334841054e-18,"Tumor",5.30488633126855,-9.40366130970841,1.42468074561017e-19,33.6595435983099
"HDAC1","44_Normal vs 502_Tumor",-0.784627440995351,2.37877004715491e-18,"Tumor",7.33736172379811,-9.39876581033788,1.48293088129278e-19,33.5878665403583
"ICOS","44_Normal vs 502_Tumor",-1.01731332083606,2.55874495304277e-18,"Tumor",2.47166601259437,-9.38923890676602,1.60313667306816e-19,33.4177725020127
"CXCL13","44_Normal vs 502_Tumor",-2.75715259683642,2.90810036612114e-18,"Tumor",5.02305871090311,-9.37307203671875,1.82960459154995e-19,33.4410241972692
"HSPA5","44_Normal vs 502_Tumor",-0.872069101426828,2.95771790521016e-18,"Tumor",9.54845878066202,-9.37079785122143,1.86390694845525e-19,33.3479838364005
"OASL","44_Normal vs 502_Tumor",-2.45687613645539,3.3928123816307e-18,"Tumor",5.0176017289212,-9.35287158041899,2.15756601450666e-19,33.2824302683667
"MICB","44_Normal vs 502_Tumor",-1.49908394701894,3.79545470510539e-18,"Tumor",3.53800859837761,-9.33831165756466,2.42945533056723e-19,33.1526085638298
"PTK2","44_Normal vs 502_Tumor",-1.0605417536373,4.05863564136916e-18,"Tumor",4.99170879107879,-9.32958061442018,2.60850284843591e-19,33.079857832571
"ITGA3","44_Normal vs 502_Tumor",-1.82643655128039,4.45195754489194e-18,"Tumor",7.19493110760034,-9.31692448924213,2.8914847636238e-19,32.9445102499175
"TAP1","44_Normal vs 502_Tumor",-1.63460426024618,4.709942553719e-18,"Tumor",7.60828557570368,-9.30970111859909,3.06641364027404e-19,32.8781434928353
"PSTPIP1","44_Normal vs 502_Tumor",-0.971777806754048,6.79348248441697e-18,"Tumor",2.69887638524176,-9.26134547383701,4.53985657182854e-19,32.4872475518275
"PSMD4","44_Normal vs 502_Tumor",-0.710310835749387,7.89666578432241e-18,"Tumor",7.52956837207636,-9.24188845467641,5.31415246584376e-19,32.3287965828452
"EPOR","44_Normal vs 502_Tumor",-0.719857273755163,8.9293891597079e-18,"Tumor",2.35396967912179,-9.22534630924133,6.07435101688095e-19,32.1445173687541
"HLA-A","44_Normal vs 502_Tumor",-1.36567750856487,1.01078745448358e-17,"Tumor",10.7654965924557,-9.20932617453722,6.9129446128018e-19,32.0537700294202
"HERC5","44_Normal vs 502_Tumor",-1.61638948066148,1.11306763196529e-17,"Tumor",3.69307281089947,-9.19633583958009,7.67632849631236e-19,32.0244317170586
"RBP1","44_Normal vs 502_Tumor",-2.17591297319688,1.2034829540824e-17,"Tumor",6.34542609971746,-9.18626640753861,8.32499555069778e-19,31.9298561605269
"MYDGF","44_Normal vs 502_Tumor",-0.879513074207757,1.3118738505221e-17,"Tumor",7.31035404654344,-9.17499227764621,9.11584312637819e-19,31.8015919765733
"SEM1","44_Normal vs 502_Tumor",-0.994672800361915,2.20161445934602e-17,"Tumor",5.07980909775639,-9.10733506416766,1.56889005762777e-18,31.3129516847881
"FANCC","44_Normal vs 502_Tumor",-0.972184450266842,2.47984313813597e-17,"Tumor",3.11745040508442,-9.09100089778362,1.7878570696979e-18,31.1962290355164
"NLRP7","44_Normal vs 502_Tumor",-0.797981243847366,2.50443506171534e-17,"Tumor",1.60092380012818,-9.08958539958526,1.80819976285358e-18,30.6200952774439
"CD300LF","44_Normal vs 502_Tumor",-0.919571876048713,3.33901733846163e-17,"Tumor",2.40424148601006,-9.0514806491149,2.45083071376468e-18,30.7288839845448
"RBCK1","44_Normal vs 502_Tumor",-0.804403537077831,4.55379848758764e-17,"Tumor",6.33329389667072,-9.01000054760991,3.40899412055312e-18,30.5169942678322
"LUM","44_Normal vs 502_Tumor",-2.35148851207365,4.62090977774694e-17,"Tumor",7.86420843831331,-9.00798299361552,3.4640551675217e-18,30.4982312388432
"TNFSF11","44_Normal vs 502_Tumor",-0.717370347130343,5.01953448444614e-17,"Tumor",1.6710673548782,-8.99668452794294,3.78906901715977e-18,29.98125665343
"BAIAP2L1","44_Normal vs 502_Tumor",-0.962665520390093,5.15132469411203e-17,"Tumor",5.74604589517431,-8.99289578375855,3.90467670746767e-18,30.3988544236381
"RAD21","44_Normal vs 502_Tumor",-1.06019925922592,6.446117376895e-17,"Tumor",7.10529915395774,-8.96260850806578,4.96346666403934e-18,30.1389807674235
"PSMC2","44_Normal vs 502_Tumor",-0.74871619677958,7.53192779746587e-17,"Tumor",6.82497189708742,-8.94138321799751,5.87025934029632e-18,29.9741321292797
"NLRC5","44_Normal vs 502_Tumor",-1.33806950171407,7.77669414653261e-17,"Tumor",4.35932557642578,-8.93691056929334,6.08131072338274e-18,30.0045543068317
"ILF3","44_Normal vs 502_Tumor",-0.841664497268067,8.79457057326981e-17,"Tumor",6.47409185458364,-8.92056328705774,6.91857291694448e-18,29.8191468211455
"PSMD13","44_Normal vs 502_Tumor",-0.715429386113284,9.48499834626147e-17,"Tumor",6.7421272303803,-8.91013621508236,7.51120428276118e-18,29.7324990624867
"TNFRSF10B","44_Normal vs 502_Tumor",-1.26212706696115,9.75153795279555e-17,"Tumor",5.6278896723611,-8.90645100441958,7.73245223446671e-18,29.7371083507528
"HLA-B","44_Normal vs 502_Tumor",-1.50148644649063,1.07784216523023e-16,"Tumor",11.2099194319912,-8.89315542287381,8.58562854585816e-18,29.5728563421794
